user_id,discord_id,rsn,clan,total_submissions,total_gained,screenshot_categories,unique_items
6830dbec3de3c8b445308e16,160554800717496320,im molter,ironclad,5,1149.91,1,5
6830e10f3de3c8b445308e3a,335215712908083210,masterbaitr1,ironclad,10,2456.25,0,8
6830e1823de3c8b445308e3d,855592883066372146,rizz w tizz,ironclad,2,490.0,0,1
6830e2923de3c8b445308e41,265498551843422208,notyourironn,ironfoundry,4,968.74,0,4
6830e2a33de3c8b445308e43,260227081818996736,gim ferron,ironfoundry,8,1885.1,1,8
6830e3ea3de3c8b445308e46,309464491433787392,kaetif,ironfoundry,0,0.0,0,0
6830e4fb3de3c8b445308e4b,415381737145761803,ptolemaic,ironfoundry,0,0.0,0,0
6830edb13de3c8b445308e69,126047413113716736,ugly dipshit,ironfoundry,20,2811.6,1,20
6830f0053de3c8b445308e72,541389619087015946,whiskey q p,ironfoundry,5,97.0,0,5
6830f7bb3de3c8b445308e8a,214511910001967104,gha rack,ironfoundry,4,432.5,1,4
6830f7f83de3c8b445308e8c,407780790920019968,damp labias,ironfoundry,1,195.0,1,1
6830f9183de3c8b445308e91,206842330089521153,i dont talk,ironfoundry,0,0.0,0,0
6830fc443de3c8b445308e99,227939586897084427,n7 thane,ironfoundry,2,504.0,0,2
683107d13de3c8b445308eb9,948390009080283138,fe toasted,ironclad,0,0.0,0,0
683108343de3c8b445308ebc,202198376685502484,zooviez,ironclad,11,1910.5,0,10
68310c033de3c8b445308ec6,238018467725443072,gim jrdndude,ironfoundry,1,245.0,0,1
68310e913de3c8b445308ecc,267087489108279296,irondiq,ironfoundry,20,2203.4,4,20
68320a2b3de3c8b445309207,439675923537592330,chad truths,ironfoundry,1,396.0,0,1
